Council_Area,Covid_Shock_Pct,War_Shock_Pct,Rank
South Ayrshire,4.788816157460143,-11.202188194323837,1
North Lanarkshire,4.176880317183641,-11.140380996303882,2
Inverclyde,3.6627748728995533,-11.0496046634454,3
East Ayrshire,3.708928417455632,-11.013531025223202,4
West Lothian,4.854822234733488,-10.819309709751597,5
Fife,4.453994519815441,-10.70176879918085,6
Midlothian,4.459971346817373,-10.616497125632755,7
East Lothian,5.353408227438323,-10.522129873459352,8
Falkirk,3.9796938233080823,-10.504804394744447,9
West Dunbartonshire,3.889000043175224,-10.405602509624044,10
Clackmannanshire,5.244048252988056,-10.314023701658341,11
East Dunbartonshire,6.238287593284476,-10.28103035410282,12
South Lanarkshire,4.5475839140525265,-10.21439398740759,13
East Renfrewshire,4.969784854640894,-9.75177153632652,14
Moray,4.884519073814885,-9.742899463138674,15
Dumfries and Galloway,4.77910079984413,-9.69688538417612,16
North Ayrshire,3.6926751495720738,-9.636216637766907,17
Aberdeenshire,5.667551886338185,-9.5289188026511,18
Renfrewshire,4.975839736832096,-9.36318155686449,19
City of Edinburgh,4.743623500670691,-9.353545664466775,20
Scottish Borders,4.827550785632639,-9.178486521401139,21
Aberdeen City,3.7941919415822993,-8.938972244053996,22
Glasgow City,3.7396863398737357,-8.544069407690124,23
Angus,3.791096490099302,-8.414550607640146,24
Perth and Kinross,3.6037826359507363,-8.024552516249495,25
Argyll and Bute,4.418474609373139,-8.013163101597774,26
Stirling,5.118851074491129,-7.912181876592768,27
Highland,2.265604118380993,-7.780897636545016,28
Dundee City,3.231563251563531,-7.608442475646402,29
Orkney Islands,2.4391323906422375,-7.281471497681233,30
Na h-Eileanan Siar,3.248960849034488,-5.926480825612831,31
Shetland Islands,1.96645828252554,-5.639565652005032,32
