Council_Area,Rank,2019,2020,Covid_Impact_Pct
East Dunbartonshire,1,3667.575173435365,3896.369060454165,6.238287593284476
Aberdeenshire,2,4622.15642442888,4884.119538051101,5.667551886338185
East Lothian,3,3836.983764498261,4042.3931690323834,5.353408227438323
Clackmannanshire,4,3460.871182460509,3642.360937242496,5.244048252988056
Stirling,5,4252.650221602962,4470.337053165835,5.118851074491129
Renfrewshire,6,3239.925850665462,3401.1393685867693,4.975839736832096
East Renfrewshire,7,3928.181340220724,4123.403501529843,4.969784854640894
Moray,8,3993.087115859682,4188.130217667893,4.884519073814885
West Lothian,9,3562.8724262058126,3735.843548948441,4.854822234733488
Scottish Borders,10,4153.561145850575,4354.076419578816,4.827550785632639
South Ayrshire,11,3587.189750485435,3758.973672855436,4.788816157460143
Dumfries and Galloway,12,4191.994452066022,4392.334092454131,4.77910079984413
City of Edinburgh,13,3412.609023003518,3574.4903466047213,4.743623500670691
South Lanarkshire,14,3774.2256925136303,3945.8617729864177,4.5475839140525265
Midlothian,15,3499.5740934964574,3655.6540953270433,4.459971346817373
Fife,16,3461.8747182791253,3616.066428514154,4.453994519815441
Argyll and Bute,17,4655.56239501238,4861.267237359526,4.418474609373139
North Lanarkshire,18,3377.838520776212,3518.926793096761,4.176880317183641
Falkirk,19,3529.596845326688,3670.063992967831,3.9796938233080823
West Dunbartonshire,20,3076.186558347249,3195.819454929524,3.889000043175224
Aberdeen City,21,3297.8700223542205,3422.9975409862427,3.7941919415822993
Angus,22,4055.414701842412,4209.159386262931,3.791096490099302
Glasgow City,23,3018.879235339631,3131.775849720912,3.7396863398737357
East Ayrshire,24,3375.0341338130656,3500.211733900886,3.708928417455632
North Ayrshire,25,3417.0519201368797,3543.2325472397497,3.6926751495720738
Inverclyde,26,3394.327285172382,3518.6538520776494,3.6627748728995533
Perth and Kinross,27,4497.866068964953,4659.959385346632,3.6037826359507363
Na h-Eileanan Siar,28,4984.577033904245,5146.523990225758,3.248960849034488
Dundee City,29,3488.5534987121923,3601.2883115877094,3.231563251563531
Orkney Islands,30,5850.801498452586,5993.510292913525,2.4391323906422375
Highland,31,4756.940827315536,4864.714274608144,2.265604118380993
Shetland Islands,32,5718.40180467759,5830.851790593762,1.96645828252554
