Council_Area,Rank,2021,2022,Crisis_Impact_Pct
South Ayrshire,1,3531.7378450547326,3136.1059251215443,-11.202188194323837
North Lanarkshire,2,3289.3199352740457,2922.877162297141,-11.140380996303882
Inverclyde,3,3282.315532877321,2919.6326426875157,-11.0496046634454
East Ayrshire,4,3284.6244283683736,2922.8712978879626,-11.013531025223202
West Lothian,5,3480.2926318470977,3103.7489932018952,-10.819309709751597
Fife,6,3412.2216395878963,3047.0535688035816,-10.70176879918085
Midlothian,7,3418.9666537592298,3055.992157236539,-10.616497125632755
East Lothian,8,3770.6221830662894,3373.872419926586,-10.522129873459352
Falkirk,9,3420.016919484775,3060.7508318257346,-10.504804394744447
West Dunbartonshire,10,2972.2606710292,2662.979040052017,-10.405602509624044
Clackmannanshire,11,3371.87450658971,3024.098570789872,-10.314023701658341
East Dunbartonshire,12,3638.9380060309086,3264.817685063887,-10.28103035410282
South Lanarkshire,13,3670.184352509063,3295.297262679603,-10.21439398740759
East Renfrewshire,14,3831.050048311425,3457.454800157768,-9.75177153632652
Moray,15,3942.7928689232513,3558.650523664258,-9.742899463138674
Dumfries and Galloway,16,4078.839859454197,3683.319433278833,-9.69688538417612
North Ayrshire,17,3316.450091558828,2996.8697760528003,-9.636216637766907
Aberdeenshire,18,4539.854979186511,4107.255884461715,-9.5289188026511
Renfrewshire,19,3143.0500252552524,2848.760544967528,-9.36318155686449
City of Edinburgh,20,3350.247231573977,3036.880326896171,-9.353545664466775
Scottish Borders,21,4049.1154844839816,3677.467965504653,-9.178486521401139
Aberdeen City,22,3222.2013182515043,2934.1696367654604,-8.938972244053996
Glasgow City,23,2919.329899551085,2669.90032669399,-8.544069407690124
Angus,24,3939.660993115139,3608.156225080007,-8.414550607640146
Perth and Kinross,25,4397.457904397279,4044.581585478955,-8.024552516249495
Argyll and Bute,26,4543.847503336412,4179.741591806187,-8.013163101597774
Stirling,27,4185.285505890219,3854.138104609509,-7.912181876592768
Highland,28,4623.382691624256,4263.642017043233,-7.780897636545016
Dundee City,29,3374.842792539632,3118.0698200257552,-7.608442475646402
Orkney Islands,30,5867.114357169818,5439.902097516134,-7.281471497681233
Na h-Eileanan Siar,31,4891.130361202149,4601.258458189776,-5.926480825612831
Shetland Islands,32,5738.900087690094,5415.251049541836,-5.639565652005032
